step,total,mse_per_pixel,holdout_total
1,8172.9443,0.251376,8112.9790
500,436.3306,0.109754,364.4071
1000,360.2660,0.107715,362.3082
1500,406.8807,0.099778,327.3670
2000,285.9982,0.089360,315.7338
2500,267.6293,0.086397,297.9582
3000,320.5097,0.081673,276.9868
3500,365.6827,0.074776,271.3946
4000,379.6426,0.078270,266.8676
4500,253.6756,0.068974,261.5067
5000,274.2126,0.077473,257.7771
5500,251.9147,0.066993,254.2389
6000,195.7050,0.065854,251.1523
6500,285.1359,0.069043,248.7159
7000,265.7465,0.070542,247.1572
7500,215.1067,0.064206,245.6196
8000,249.3780,0.068600,244.2417
8500,251.0277,0.070076,242.7841
9000,226.2433,0.068590,240.6590
9500,222.8604,0.069224,239.1975
10000,215.4498,0.062822,237.5378
10500,226.7223,0.063702,236.7269
11000,290.8283,0.065654,235.4050
11500,205.4330,0.061471,234.0846
12000,188.6415,0.063745,233.7628
12500,215.4338,0.059456,232.8710
13000,197.4208,0.063608,232.9866
13500,244.1511,0.066388,233.2742
14000,283.5844,0.066973,233.2237
14500,192.8325,0.063009,233.3491
15000,226.1054,0.064800,233.7190
15500,221.8305,0.061731,233.9441
16000,207.5708,0.063841,233.8199
16500,208.8987,0.063230,234.5935
17000,245.7066,0.064415,234.5806
17500,242.9544,0.062233,235.2694
18000,206.1309,0.061317,234.8848
18500,236.1535,0.061464,235.6812
19000,203.4068,0.060767,236.0527
19500,194.4795,0.062981,235.5686
20000,207.0606,0.055434,236.5391
