step,total,recon,kl
1,10945.8242,10945.8037,0.0205
200,2080.9639,2073.1648,7.7990
400,2248.1973,2246.0095,2.1878
600,2312.8464,2312.1614,0.6852
800,2432.9937,2432.8608,0.1329
1000,2124.6479,2124.6250,0.0229
1200,2101.3765,2101.3601,0.0164
1400,2010.5255,2010.5104,0.0151
1600,2059.0564,2059.0532,0.0032
1800,2199.0432,2199.0427,0.0004
2000,2066.0183,2066.0183,0.0001
2200,2383.3992,2383.3992,0.0001
2400,2186.3284,2186.3284,0.0001
2600,2276.1724,2276.1724,0.0001
2800,2261.7190,2261.7190,0.0001
3000,2087.3052,2087.3052,0.0000
3200,2030.2737,2030.2737,0.0001
3400,2245.7034,2245.7034,0.0001
3600,2077.1487,2077.1487,0.0000
3800,2256.6409,2256.6409,0.0000
4000,2181.4453,2181.4453,0.0001
4200,2238.4766,2238.4766,0.0001
4400,2164.4531,2164.4531,0.0001
4600,2080.0781,2080.0781,0.0000
4800,2250.0000,2250.0000,0.0000
5000,2310.1562,2310.1562,0.0001
5200,2247.8516,2247.8516,0.0000
5400,2093.9453,2093.9453,0.0000
5600,2211.7188,2211.7188,0.0000
5800,2096.0938,2096.0938,0.0000
6000,2111.7188,2111.7188,0.0000
6200,2076.3672,2076.3672,0.0000
6400,2016.2109,2016.2109,0.0000
6600,2016.9922,2016.9922,0.0000
6800,2133.2031,2133.2031,0.0000
7000,2130.2734,2130.2734,0.0000
7200,1927.1484,1927.1484,0.0000
7400,2270.7031,2270.7031,0.0000
7600,2343.9453,2343.9453,0.0000
7800,2145.3125,2145.3125,0.0000
8000,2171.6797,2171.6797,0.0000
8200,2017.3828,2017.3828,0.0000
8400,2220.1172,2220.1172,0.0000
8600,2153.9062,2153.9062,0.0000
8800,2441.4062,2441.4062,0.0000
9000,2377.3438,2377.3438,0.0000
9200,2013.8672,2013.8672,0.0000
9400,2252.9297,2252.9297,0.0000
9600,2536.5234,2536.5234,0.0000
9800,2172.0703,2172.0703,0.0000
10000,2037.5000,2037.5000,0.0000
10200,2089.4531,2089.4531,0.0000
10400,2314.6484,2314.6484,0.0000
10600,2295.8984,2295.8984,0.0000
10800,2419.9219,2419.9219,0.0000
11000,2170.7031,2170.7031,0.0000
11200,2183.5938,2183.5938,0.0000
11400,2370.8984,2370.8984,0.0000
11600,2387.5000,2387.5000,0.0000
11800,2126.9531,2126.9531,0.0000
12000,2274.6094,2274.6094,0.0000
12200,2146.2891,2146.2891,0.0000
12400,2294.5312,2294.5312,0.0000
12600,2310.1562,2310.1562,0.0000
12800,2232.0312,2232.0312,0.0000
13000,2216.9922,2216.9922,0.0000
13200,2245.8984,2245.8984,0.0000
13400,2361.5234,2361.5234,0.0000
13600,2268.3594,2268.3594,0.0000
13800,2087.1094,2087.1094,0.0000
14000,2186.5234,2186.5234,0.0000
14200,2021.8750,2021.8750,0.0000
14400,2008.2031,2008.2031,0.0000
14600,2287.1094,2287.1094,0.0000
14800,2011.3281,2011.3281,0.0000
15000,2289.2578,2289.2578,0.0000
15200,480.1151,453.1736,26.9416
15400,388.7284,362.8572,25.8712
15600,382.4018,356.2810,26.1208
15800,377.7936,350.6911,27.1025
16000,351.3724,323.6441,27.7283
16200,357.8680,330.2300,27.6380
16400,370.0315,341.7229,28.3086
16600,297.7441,269.7637,27.9804
16800,310.6770,281.7291,28.9479
17000,295.4980,266.5239,28.9741
17200,314.0828,285.4868,28.5959
17400,302.1768,273.2742,28.9026
17600,326.2487,297.8140,28.4347
17800,295.9846,267.3036,28.6811
18000,296.3932,267.7347,28.6586
18200,275.3607,246.5964,28.7643
18400,291.3746,262.3815,28.9930
18600,292.3522,263.7458,28.6064
18800,308.4604,279.3902,29.0702
19000,276.9815,247.8933,29.0882
19200,276.6517,247.7115,28.9403
19400,257.4811,228.3753,29.1058
19600,263.3387,234.5818,28.7568
19800,251.0162,222.4990,28.5171
20000,272.8622,243.9226,28.9396
