step,total,mse_per_pixel
1,78.4104,0.250913
100,53.8503,0.172321
200,43.2203,0.138305
300,40.9946,0.131183
400,40.8874,0.130840
500,34.7737,0.111276
600,29.3464,0.093909
700,26.9601,0.086272
800,25.5144,0.081646
900,22.8293,0.073054
1000,20.7136,0.066284
1100,18.5322,0.059303
1200,19.1252,0.061201
1300,16.5550,0.052976
1400,17.4102,0.055713
1500,16.0362,0.051316
1600,16.0729,0.051433
1700,15.2465,0.048789
1800,14.5876,0.046680
1900,14.7322,0.047143
2000,14.0032,0.044810
