step,total,mse_per_pixel,holdout_total
1,2002.5155,0.249855,1977.5599
200,85.7437,0.108292,111.5290
400,110.8869,0.109793,110.0511
600,100.5635,0.108722,109.5645
800,76.4770,0.106081,109.4728
1000,68.3254,0.104249,108.5743
1200,87.2623,0.092033,99.9098
1400,114.2554,0.093403,98.5791
1600,88.8603,0.092447,98.6134
1800,89.9917,0.089431,98.3498
2000,86.7498,0.091880,98.3787
2200,76.4025,0.091518,97.1593
2400,84.7935,0.085894,94.8381
2600,85.0266,0.085210,94.1542
2800,70.0503,0.082536,93.6763
3000,96.1411,0.083980,93.4926
3200,86.3263,0.085792,93.2924
3400,57.1164,0.079117,93.0573
3600,80.9321,0.081237,92.6029
3800,67.9265,0.071631,89.1236
4000,55.3694,0.069954,87.4972
4200,61.4675,0.068007,85.1640
4400,58.3313,0.069945,81.8812
4600,61.1798,0.063942,79.3606
4800,51.4244,0.059694,76.4881
5000,65.8236,0.063970,73.3263
5200,51.4775,0.059558,71.6854
5400,63.8022,0.060711,69.5694
5600,50.4359,0.052064,68.4384
5800,43.3606,0.054840,66.6319
6000,49.3787,0.054640,65.0711
