step,total,mse_per_pixel,holdout_total
1,2122.6243,0.257558,2102.3235
200,124.0924,0.111418,92.2514
400,89.4196,0.108778,88.5723
600,104.1331,0.111060,87.5477
800,105.2809,0.108401,87.5505
1000,100.9254,0.108526,87.5023
1200,92.8868,0.106735,87.2774
1400,94.6774,0.107290,87.3606
1600,118.3020,0.107786,87.1622
1800,121.3488,0.111597,87.1939
2000,93.3408,0.092065,76.9938
2200,87.9468,0.091754,75.6530
2400,67.7335,0.089368,75.7407
2600,76.1092,0.090217,75.4872
2800,69.2381,0.083400,72.8776
3000,56.4509,0.081514,71.3269
3200,94.0316,0.085289,70.5985
3400,96.0055,0.076528,68.5910
3600,71.9551,0.073099,66.0482
3800,76.4789,0.072822,64.3288
4000,84.0410,0.070023,63.1731
4200,75.9940,0.068658,61.6442
4400,53.9049,0.061824,59.6447
4600,56.5707,0.060324,57.1621
4800,45.7884,0.056651,54.5450
5000,66.7755,0.055883,52.0954
5200,58.7513,0.053150,50.0448
5400,83.1245,0.053363,48.8346
5600,45.6489,0.047703,48.1035
5800,66.1742,0.051898,47.2041
6000,53.5914,0.048334,46.5982
