step,total,mse_per_pixel,holdout_total
1,8265.6279,0.253188,8200.2832
500,316.9504,0.107239,363.9045
1000,337.0255,0.095883,340.7138
1500,294.8437,0.094959,330.5775
2000,331.0490,0.092084,321.9534
2500,364.4131,0.090371,318.7616
3000,283.2162,0.087110,292.6865
3500,323.8404,0.079497,286.0276
4000,267.3937,0.076208,273.1157
4500,233.6734,0.073708,263.0162
5000,271.1610,0.067694,259.4888
5500,288.2771,0.073837,256.3643
6000,198.5744,0.069279,251.9936
6500,266.7175,0.070029,249.7932
7000,248.2321,0.068283,249.0315
7500,196.3846,0.064934,247.9562
8000,255.7209,0.064254,246.3532
8500,191.1704,0.068756,244.0622
9000,226.2590,0.071436,242.5185
9500,219.8047,0.062148,242.8250
10000,198.9344,0.058850,242.8859
10500,195.3633,0.063098,243.0999
11000,201.1442,0.061967,243.4881
11500,207.3096,0.061467,244.1960
12000,200.2471,0.066009,245.4803
12500,183.1888,0.060422,244.9229
13000,198.3609,0.064352,245.7168
13500,203.0677,0.061166,246.4020
14000,170.5274,0.055369,247.1943
14500,194.9795,0.060289,247.9336
15000,234.1921,0.064766,248.7409
15500,207.4137,0.063241,249.3436
16000,176.6846,0.060700,249.8873
16500,197.8346,0.063057,251.4331
17000,210.7026,0.057492,252.0434
17500,181.9418,0.061366,252.4849
18000,193.1722,0.058824,253.4596
18500,192.0153,0.062055,253.7598
19000,177.5156,0.060086,253.6091
19500,208.8049,0.061831,254.5179
20000,186.7684,0.054929,254.1806
