step,total,mse_per_pixel,holdout_total
1,1931.8219,0.242218,1911.1665
200,95.1955,0.109636,112.2485
400,94.8887,0.109939,111.4472
600,107.3287,0.109281,111.6124
800,95.2039,0.107786,112.0128
1000,84.8316,0.107168,111.8445
1200,96.5480,0.108962,111.7149
1400,100.6547,0.107921,111.9049
1600,89.2232,0.107010,112.1865
1800,81.6437,0.106947,111.2235
2000,65.1855,0.090613,103.0504
2200,54.9426,0.087605,98.4432
2400,91.3486,0.083228,96.3363
2600,76.2195,0.078141,92.2239
2800,84.3667,0.077918,90.2126
3000,80.6384,0.076252,88.7566
3200,59.1309,0.070206,87.6898
3400,49.9374,0.069572,86.1857
3600,63.8992,0.060776,84.5486
3800,76.4188,0.066583,82.4842
4000,50.7177,0.061020,78.9777
4200,53.6237,0.053644,77.0138
4400,49.5674,0.056805,75.2171
4600,45.3990,0.050131,73.6140
4800,39.1486,0.049122,71.8002
5000,31.6173,0.048514,69.8197
5200,63.9326,0.056031,67.8633
5400,41.2847,0.045757,66.4111
5600,40.4063,0.049398,64.9120
5800,36.8678,0.046072,63.6052
6000,43.5886,0.044485,62.1915
