step,total,recon,kl
1,11820.6660,11820.6377,0.0285
200,2253.7563,2244.6953,9.0609
400,2261.8381,2258.3247,3.5133
600,2430.0112,2428.7029,1.3084
800,2149.4111,2148.8574,0.5537
1000,2189.5366,2189.2725,0.2641
1200,2215.6641,2215.5210,0.1431
1400,2199.1799,2199.0935,0.0865
1600,2013.7620,2013.7074,0.0546
1800,2057.8713,2057.8340,0.0373
2000,2083.6348,2083.6084,0.0264
2200,2343.3899,2343.3699,0.0201
2400,2111.7410,2111.7261,0.0149
2600,2132.0481,2132.0366,0.0114
2800,1994.5448,1994.5359,0.0089
3000,2344.9331,2344.9258,0.0073
3200,1927.1577,1927.1521,0.0056
3400,2005.2806,2005.2761,0.0045
3600,2029.4982,2029.4945,0.0036
3800,1982.8169,1982.8140,0.0030
4000,2063.4805,2063.4780,0.0024
4200,2152.9329,2152.9309,0.0020
4400,2071.6821,2071.6807,0.0016
4600,2371.6814,2371.6802,0.0013
4800,1899.8062,1899.8052,0.0010
5000,1931.0562,1931.0554,0.0008
5200,2012.8917,2012.8911,0.0006
5400,2277.5400,2277.5396,0.0005
5600,2188.4766,2188.4766,0.0001
5800,2272.4612,2272.4612,0.0001
6000,2240.2344,2240.2344,0.0001
6200,2156.0547,2156.0547,0.0001
6400,2332.0315,2332.0315,0.0001
6600,2236.9141,2236.9141,0.0001
6800,2333.9846,2333.9846,0.0001
7000,2318.9453,2318.9453,0.0001
7200,2041.2111,2041.2109,0.0001
7400,2250.7812,2250.7812,0.0001
7600,2110.3516,2110.3516,0.0000
7800,2345.3125,2345.3125,0.0000
8000,1963.6719,1963.6719,0.0000
8200,2169.5312,2169.5312,0.0000
8400,2182.0312,2182.0312,0.0000
8600,2184.1797,2184.1797,0.0000
8800,2320.1172,2320.1172,0.0000
9000,2021.4844,2021.4844,0.0000
9200,2432.6172,2432.6172,0.0000
9400,2009.7656,2009.7656,0.0000
9600,2034.1797,2034.1797,0.0000
9800,1936.9141,1936.9141,0.0000
10000,2296.6797,2296.6797,0.0000
10200,2377.3438,2377.3438,0.0000
10400,2016.0156,2016.0156,0.0000
10600,2089.4531,2089.4531,0.0000
10800,2155.6641,2155.6641,0.0000
11000,2219.3359,2219.3359,0.0000
11200,2302.1484,2302.1484,0.0000
11400,2393.1641,2393.1641,0.0000
11600,2244.5312,2244.5312,0.0000
11800,2002.9297,2002.9297,0.0000
12000,2138.0859,2138.0859,0.0000
12200,2130.0781,2130.0781,0.0000
12400,686.4750,658.3439,28.1311
12600,418.0267,391.7767,26.2500
12800,397.9675,371.2271,26.7404
13000,384.6684,357.7049,26.9634
13200,365.3857,338.0435,27.3423
13400,373.3994,344.5726,28.8268
13600,325.4310,297.1926,28.2384
13800,365.5001,336.3507,29.1493
14000,313.7639,284.4734,29.2906
14200,291.9516,262.4322,29.5194
14400,331.7118,302.5469,29.1649
14600,295.7922,267.0073,28.7850
14800,293.3729,264.3730,28.9999
15000,298.0424,268.8836,29.1588
15200,294.8983,265.3379,29.5604
15400,289.2889,259.6648,29.6241
15600,316.7415,287.5950,29.1465
15800,293.4713,264.8354,28.6358
16000,315.5697,286.4839,29.0858
16200,301.6046,272.8225,28.7821
16400,292.5914,263.5704,29.0210
16600,308.7325,279.2877,29.4448
16800,261.8214,233.2293,28.5921
17000,279.2130,250.1354,29.0776
17200,261.7530,233.0856,28.6674
17400,320.7489,291.7513,28.9976
17600,268.5888,239.7588,28.8300
17800,277.0551,248.1720,28.8831
18000,284.1299,254.8465,29.2834
18200,251.6361,222.2234,29.4127
18400,287.5134,258.1605,29.3528
18600,272.1898,243.2964,28.8934
18800,269.2693,240.5141,28.7553
19000,301.0867,272.1604,28.9263
19200,293.9978,264.3001,29.6977
19400,282.5050,253.3638,29.1412
19600,275.8387,247.0951,28.7435
19800,276.9050,247.6512,29.2538
20000,264.0728,235.6568,28.4159
