step,total,recon,kl
1,15896.4424,15896.3799,0.0157
100,2300.3574,2283.1611,4.2991
200,2458.4429,2456.4385,0.5011
300,2081.5969,2081.3108,0.0715
400,2228.5222,2228.4519,0.0176
500,2218.6379,2218.6255,0.0031
600,2408.5176,2408.5134,0.0010
700,2048.5339,2048.5322,0.0004
800,2186.2224,2186.2214,0.0003
900,2366.0552,2366.0547,0.0001
1000,2306.0857,2306.0854,0.0001
1100,2142.2083,2142.2080,0.0000
1200,2119.5496,2119.5493,0.0000
1300,2067.0305,2067.0305,0.0000
1400,2041.4230,2041.4229,0.0000
1500,2192.7878,2192.7878,0.0000
1600,2276.3733,2276.3733,0.0000
1700,2332.0432,2332.0432,0.0000
1800,2136.9214,2136.9214,0.0000
1900,2177.7422,2177.7422,0.0000
2000,2300.7847,2300.7847,0.0000
2100,2149.8093,2149.8093,0.0000
2200,2077.1528,2077.1528,0.0000
2300,2399.4172,2399.4172,0.0000
2400,2011.3345,2011.3345,0.0000
2500,2038.4866,2038.4866,0.0000
