step,total,mse_per_pixel,holdout_total
1,1950.5919,0.249203,1923.0115
200,97.7822,0.109627,85.2729
400,102.8828,0.109566,83.3279
600,86.0883,0.100373,78.3705
800,93.7949,0.095979,73.3540
1000,89.7262,0.089243,72.2898
1200,78.5253,0.088525,70.0322
1400,86.1233,0.088367,68.2496
1600,60.0747,0.086279,67.4936
1800,69.1955,0.084203,66.1242
2000,63.3981,0.074357,61.3524
2200,66.0792,0.073858,57.6004
2400,58.2305,0.064935,55.1407
2600,43.8533,0.063379,53.5550
2800,65.7298,0.060151,51.4683
3000,48.5033,0.060056,50.0640
3200,58.3719,0.055621,49.0677
3400,58.0775,0.059580,48.0660
3600,45.0938,0.052639,47.1246
3800,74.0693,0.055388,45.8511
4000,40.7642,0.053209,45.1338
4200,50.9197,0.051878,44.1006
4400,60.5894,0.052793,43.4600
4600,66.8214,0.052233,42.9378
4800,55.8831,0.048763,42.5067
5000,46.2172,0.045604,42.0728
5200,56.5706,0.049662,41.5712
5400,56.6818,0.045919,41.1388
5600,36.6602,0.047080,40.5002
5800,33.8816,0.043442,40.0438
6000,49.3631,0.048535,39.5535
