k,err_vs_true,err_vs_oracle,mean_noise_se,mean_knn_radius,max_knn_radius
4,0.9190895286382216,0.8636651425652435,0.9808756239139631,0.0204988460662172,0.03916429430118876
8,0.555161785780345,0.5580055881529978,0.6939187163358463,0.03073300324655054,0.05954396387517662
16,0.3999088739452889,0.38253926188726056,0.49079800923311434,0.04529497303437663,0.0836188220896228
32,0.3761835214941146,0.27767312734061594,0.346427098215868,0.06411058462759983,0.10923350342117254
64,0.406742496627457,0.1457586175221184,0.24531640819377076,0.09028604595248946,0.15830466740509394
128,0.3969609614755929,0.12335987080551554,0.17321677477971442,0.12835670699166182,0.20592083744757206
256,0.6455020940495773,0.09005206305449355,0.12244848770769987,0.18113950338086227,0.2937150670483015
