step,total,recon,kl
1,13863.3018,13863.2656,0.0361
200,2328.0723,2318.2126,9.8596
400,2140.1289,2136.4722,3.6568
600,2035.6575,2033.3000,2.3574
800,1887.9854,1883.2747,4.7107
1000,645.8828,611.2108,34.6719
1200,519.0017,486.2112,32.7905
1400,491.2719,461.2395,30.0324
1600,477.2527,448.0707,29.1820
1800,454.4862,426.3368,28.1494
2000,458.2310,429.6347,28.5963
2200,406.1395,379.1960,26.9435
2400,372.4696,345.0777,27.3919
2600,436.0980,407.4431,28.6549
2800,409.6097,380.1007,29.5090
3000,376.9011,348.4377,28.4634
3200,373.4855,343.7001,29.7854
3400,333.9315,303.8128,30.1187
3600,343.0432,313.4224,29.6208
3800,318.4013,288.6985,29.7028
4000,322.0221,292.2082,29.8139
4200,321.3907,291.6754,29.7153
4400,330.2970,299.6586,30.6385
4600,312.0720,282.0370,30.0350
4800,309.8957,279.3639,30.5318
5000,332.0126,302.2299,29.7827
5200,301.9720,271.4633,30.5087
5400,303.1289,273.4992,29.6297
5600,297.1123,268.5241,28.5882
5800,294.9443,265.8195,29.1248
6000,306.7659,277.5998,29.1661
6200,295.4178,266.2910,29.1268
6400,297.2804,268.3535,28.9268
6600,263.3464,234.0079,29.3385
6800,294.5888,265.0122,29.5766
7000,301.2212,271.2135,30.0077
7200,281.8824,252.7737,29.1087
7400,307.2455,277.7528,29.4927
7600,266.1361,237.1341,29.0021
7800,259.6593,231.4030,28.2563
8000,257.0144,228.4313,28.5831
8200,274.4042,244.7738,29.6304
8400,254.9021,225.8331,29.0690
8600,264.0130,234.8376,29.1755
8800,293.8767,264.6575,29.2192
9000,247.5671,218.3874,29.1797
9200,267.2056,238.4476,28.7580
9400,267.0932,238.2515,28.8417
9600,289.1525,259.3763,29.7763
9800,260.6750,230.4341,30.2409
10000,252.2833,222.6537,29.6297
10200,272.6043,243.9106,28.6937
10400,288.9818,260.0038,28.9781
10600,269.3177,239.8911,29.4266
10800,264.5732,235.1634,29.4099
11000,239.7048,210.1627,29.5420
11200,248.2249,218.3797,29.8453
11400,299.3836,269.1809,30.2027
11600,283.2332,252.8301,30.4031
11800,236.0033,206.6048,29.3985
12000,258.3174,228.6414,29.6760
12200,260.0105,229.4451,30.5654
12400,264.2073,233.8963,30.3111
12600,235.9620,206.0757,29.8863
12800,241.1362,210.7621,30.3741
13000,265.8446,235.7591,30.0855
13200,233.3736,203.8923,29.4813
13400,256.6829,226.6508,30.0321
13600,258.4824,227.9122,30.5702
13800,246.5861,216.4088,30.1773
14000,261.5449,230.6383,30.9066
14200,220.0517,189.2179,30.8338
14400,220.5771,191.0618,29.5154
14600,240.9330,211.3153,29.6177
14800,239.1369,209.9336,29.2033
15000,252.8257,222.5393,30.2864
15200,229.6712,199.6127,30.0585
15400,229.3364,199.0791,30.2573
15600,214.8974,185.3456,29.5518
15800,217.5566,187.7939,29.7628
16000,222.1000,192.1529,29.9471
16200,235.3452,205.5499,29.7953
16400,205.3810,175.2319,30.1491
16600,237.6270,207.0972,30.5297
16800,228.1299,198.2889,29.8410
17000,241.7327,211.4321,30.3006
17200,236.8753,205.9240,30.9513
17400,237.1944,207.0383,30.1561
17600,232.0387,201.8094,30.2293
17800,240.7722,210.0981,30.6741
18000,207.0534,175.9980,31.0554
18200,227.2740,197.1837,30.0903
18400,257.4794,226.9769,30.5025
18600,216.2794,186.2843,29.9951
18800,241.6429,211.6196,30.0233
19000,222.0378,191.6781,30.3597
19200,217.0448,186.6138,30.4310
19400,228.1081,197.2837,30.8245
19600,206.3012,175.4956,30.8057
19800,225.0895,194.7735,30.3159
20000,244.7749,214.3394,30.4355
