step,total,recon,kl
1,13011.2793,13011.2480,0.0314
200,2077.2671,2067.8137,9.4534
400,1829.3794,1822.4971,6.8823
600,1027.7117,987.5544,40.1573
800,413.7768,381.3288,32.4480
1000,445.9281,417.7578,28.1703
1200,399.7840,371.5484,28.2356
1400,446.7563,418.5926,28.1637
1600,422.0968,393.5968,28.5000
1800,348.6208,321.4178,27.2030
2000,345.1184,317.5043,27.6141
2200,334.3931,306.7615,27.6316
2400,299.0368,270.8464,28.1904
2600,320.4648,291.9173,28.5475
2800,322.0658,293.6237,28.4421
3000,310.9161,282.3062,28.6099
3200,301.9265,273.8309,28.0955
3400,308.8026,280.5498,28.2529
3600,304.4526,275.6867,28.7659
3800,316.5405,287.8907,28.6498
4000,285.0913,256.3057,28.7856
4200,305.8919,277.8781,28.0138
4400,288.4001,260.2830,28.1170
4600,279.8565,251.4912,28.3653
4800,279.9033,251.4863,28.4170
5000,268.0179,239.7397,28.2782
5200,345.0354,316.0090,29.0264
5400,292.7049,264.6929,28.0120
5600,290.6183,261.7345,28.8838
5800,285.5521,257.2831,28.2690
6000,290.3452,261.1218,29.2234
6200,267.6276,239.1341,28.4935
6400,242.8632,214.7506,28.1125
6600,306.0181,277.1954,28.8227
6800,278.5363,250.4571,28.0792
7000,289.9692,261.6306,28.3386
7200,238.2595,209.9447,28.3148
7400,250.8431,222.4378,28.4054
7600,243.1632,215.0634,28.0998
7800,303.0018,274.0177,28.9841
8000,262.8448,234.4180,28.4268
8200,286.7873,258.6145,28.1728
8400,292.8407,264.3208,28.5199
8600,283.4233,254.9424,28.4809
8800,269.1564,240.8651,28.2913
9000,303.4871,275.2487,28.2383
9200,261.3122,233.5442,27.7680
9400,256.0294,227.8905,28.1388
9600,262.6503,234.4821,28.1682
9800,272.2733,243.9814,28.2918
10000,273.3525,245.2449,28.1076
10200,247.2001,219.6537,27.5464
10400,277.9935,250.0631,27.9304
10600,269.1699,241.1933,27.9766
10800,252.8836,225.3696,27.5141
11000,314.4927,285.6733,28.8194
11200,269.9827,241.7029,28.2798
11400,260.2415,232.0061,28.2354
11600,261.8466,234.0213,27.8253
11800,262.0938,234.0941,27.9996
12000,253.8649,226.0444,27.8205
12200,246.6362,219.6966,26.9396
12400,321.0211,292.7272,28.2939
12600,244.7361,217.3369,27.3991
12800,244.8578,216.8768,27.9810
13000,265.2729,237.3302,27.9427
13200,240.7129,212.1502,28.5627
13400,236.5017,208.0201,28.4815
13600,283.6828,255.4036,28.2792
13800,214.3270,186.0563,28.2707
14000,264.6833,236.9088,27.7745
14200,242.1092,213.4037,28.7054
14400,245.6588,217.3347,28.3240
14600,235.3722,206.8806,28.4916
14800,281.0596,252.1310,28.9287
15000,201.7831,173.6004,28.1827
15200,267.7679,238.6461,29.1219
15400,237.5353,208.9065,28.6288
15600,241.2536,212.3577,28.8959
15800,260.0121,231.0669,28.9452
16000,245.0441,217.1082,27.9359
16200,232.2021,203.1974,29.0047
16400,272.0643,243.0603,29.0040
16600,246.2691,216.6188,29.6503
16800,251.9854,222.2724,29.7130
17000,227.6238,198.9813,28.6425
17200,222.0416,193.7128,28.3289
17400,239.7675,210.8969,28.8706
17600,212.6858,183.9189,28.7669
17800,238.8251,209.9183,28.9068
18000,225.0624,195.5028,29.5596
18200,251.4007,221.9862,29.4145
18400,240.2146,210.2326,29.9820
18600,217.4718,188.7586,28.7132
18800,251.1278,221.1784,29.9495
19000,234.1067,205.3617,28.7449
19200,224.9897,195.7804,29.2093
19400,216.8442,187.7996,29.0447
19600,228.1373,198.4980,29.6393
19800,206.9522,177.9275,29.0247
20000,210.2470,181.1565,29.0905
