step,total,mse_per_pixel,holdout_total
1,8217.1436,0.251725,8160.9653
500,444.2901,0.110974,432.3659
1000,269.2639,0.098651,404.2234
1500,341.5751,0.085036,382.8164
2000,361.7129,0.081061,361.9871
2500,345.8152,0.081058,351.5784
3000,272.2385,0.081370,341.8059
3500,272.4596,0.076971,333.3875
4000,280.9722,0.072202,326.7675
4500,251.8014,0.074955,321.1912
5000,312.2482,0.076970,317.9442
5500,207.7734,0.071721,316.0193
6000,244.0168,0.072851,312.5446
6500,290.0972,0.066742,309.4431
7000,307.2300,0.071433,307.4571
7500,227.8097,0.065095,305.5397
8000,240.0412,0.068434,305.1812
8500,248.7698,0.065687,304.1822
9000,278.2037,0.072364,303.4000
9500,242.2455,0.065113,304.0741
10000,223.2873,0.067516,303.1319
10500,174.4083,0.062813,303.0052
11000,201.8134,0.065136,303.2600
11500,221.8271,0.061313,302.6736
12000,278.7172,0.066654,303.0362
12500,211.7588,0.066350,303.7884
13000,173.9200,0.060525,303.8837
13500,167.4833,0.061929,305.0222
14000,202.4423,0.062881,305.1947
14500,259.6923,0.071648,306.8674
15000,193.8621,0.063723,306.7585
15500,212.2779,0.063309,307.8630
16000,180.4327,0.062976,308.9703
16500,244.6960,0.060736,310.0029
17000,250.1386,0.058706,310.5985
17500,176.0512,0.058032,312.1201
18000,226.4904,0.063598,312.2000
18500,200.5222,0.063426,312.3206
19000,206.5202,0.066363,314.7052
19500,180.4265,0.065232,315.7037
20000,219.2782,0.059088,317.8216
